gene_id,te_element,te_class,gene_symbol,regulation_level,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000000003,Gene,Gene,TSPAN6,Unchanged,2142.41363093271,0.46634451936777,0.0789395429939548,2.54103651860724e-09,1.85960338604614e-08
ENSG00000000419,Gene,Gene,DPM1,Unchanged,2318.67563609925,-0.235038110836319,0.0833439870823925,0.00427543770236588,0.0123252515052847
ENSG00000000457,Gene,Gene,SCYL3,Unchanged,915.06938019916,-0.0391042764580144,0.10265790188965,0.695199206397406,0.796211533890326
ENSG00000000460,Gene,Gene,FIRRM,Unchanged,973.469769122712,-0.47822352164211,0.119971555303699,4.59914981299304e-05,0.000193986904307381
ENSG00000000938,Gene,Gene,FGR,Upregulated,6.31736797951363,2.0574631651558,1.37553057935487,0.00922566084110897,0.0241686564855126
ENSG00000000971,Gene,Gene,CFH,Upregulated,23.7107846995146,5.42570307126145,1.22510053565207,6.83420175129263e-07,3.76898169252771e-06
ENSG00000001036,Gene,Gene,FUCA2,Upregulated,3954.93769098688,0.792896114004095,0.0821851798515644,1.90369475335888e-22,3.82535395016495e-21
ENSG00000001084,Gene,Gene,GCLC,Unchanged,3480.11778019172,0.0585312777778992,0.0676800471267295,0.381617499532928,0.523309328517391
ENSG00000001167,Gene,Gene,NFYA,Unchanged,1039.97867396102,0.16029156168599,0.101660594072317,0.110509856628839,0.201449450523689
ENSG00000001460,Gene,Gene,STPG1,Unchanged,367.395281370656,0.290516706632008,0.110807141368323,0.0075125903023438,0.020203982251374
ENSG00000001461,Gene,Gene,NIPAL3,Unchanged,1064.05487435527,0.250902029171615,0.0842948649624679,0.00254507303525542,0.00773717387470469
ENSG00000001497,Gene,Gene,LAS1L,Downregulated,1776.7933361142,-0.975518695820074,0.0847709864778899,3.55694824196008e-31,1.0808728555494e-29
ENSG00000001561,Gene,Gene,ENPP4,Unchanged,1535.88196347538,0.133276990042325,0.124358247842292,0.278122534094641,0.413775485540366
ENSG00000001617,Gene,Gene,SEMA3F,Unchanged,591.021801872019,-0.387626008094407,0.104037880746946,0.000157833236574786,0.000611048389743734
ENSG00000001629,Gene,Gene,ANKIB1,Unchanged,2513.29910046071,0.536495745629846,0.0873298371609936,6.04608068432885e-10,4.71105587784378e-09
ENSG00000001630,Gene,Gene,CYP51A1,Unchanged,3129.56395941902,0.248585486292842,0.100844600306755,0.012290652702943,0.0310602678439267
ENSG00000001631,Gene,Gene,KRIT1,Unchanged,1148.63704172724,0.389587016740543,0.148336163575518,0.00766275754392895,0.0205535931339038
ENSG00000002016,Gene,Gene,RAD52,Unchanged,981.491318885853,0.0124345842438458,0.101321455686101,0.907433731514144,0.942204217278286
ENSG00000002079,Gene,Gene,MYH16,Upregulated,87.8205576274858,2.51493328535437,0.21413265067771,7.76842887141268e-33,2.4962201510911e-31
ENSG00000002330,Gene,Gene,BAD,Unchanged,864.748786469391,-0.180352769544646,0.122883406831056,0.138663198544593,0.240801881034108
ENSG00000002549,Gene,Gene,LAP3,Unchanged,5727.98992469831,0.495924399571686,0.0832481048672954,1.8491336742192e-09,1.37261134911995e-08
ENSG00000002586,Gene,Gene,CD99,Upregulated,1432.87296846167,0.786715053555834,0.0884659944872906,2.0955759194415e-19,3.52565821257924e-18
ENSG00000002587,Gene,Gene,HS3ST1,Upregulated,4475.92901189031,1.04181564137338,0.0926744708704512,8.52413366147663e-30,2.45684474643004e-28
ENSG00000002726,Gene,Gene,AOC1,Downregulated,36.9444673225734,-1.8757208689978,0.495643896554132,1.97318344237234e-05,8.82350984871531e-05
ENSG00000002745,Gene,Gene,WNT16,Upregulated,480.206037278108,1.01097124973987,0.117176799932634,1.73780844794158e-18,2.72304372617051e-17
ENSG00000002746,Gene,Gene,HECW1,Unchanged,371.075660760323,0.518159256857398,0.114556425294457,3.74311145597461e-06,1.86854342695555e-05
ENSG00000002822,Gene,Gene,MAD1L1,Unchanged,895.412356406681,0.529332465279555,0.12005238219098,7.23643973818293e-06,3.44427975795349e-05
ENSG00000002834,Gene,Gene,LASP1,Unchanged,10076.3839488854,0.570287631161439,0.0993125348366979,5.29993368456215e-09,3.75163254168436e-08
ENSG00000002919,Gene,Gene,SNX11,Unchanged,1039.23452822325,0.162993218956603,0.087010022056238,0.0581527239519775,0.118472784895454
ENSG00000003056,Gene,Gene,M6PR,Unchanged,5839.15086519971,-0.33591381484186,0.075490710642288,7.19746329828082e-06,3.42687164613958e-05
ENSG00000003096,Gene,Gene,KLHL13,Downregulated,310.820566830312,-0.729322230161227,0.125037715727209,2.32007384664196e-09,1.7035766119424e-08
ENSG00000003137,Gene,Gene,CYP26B1,Upregulated,1011.69231670667,0.786383940723523,0.112603779108143,9.80070094985946e-13,9.89222500542235e-12
ENSG00000003147,Gene,Gene,ICA1,Unchanged,722.680201741487,0.479222241383284,0.0868167085468151,2.31168565342723e-08,1.53434841672232e-07
ENSG00000003249,Gene,Gene,DBNDD1,Unchanged,2143.85975632838,-0.195311155296751,0.10462415159564,0.0547343651259938,0.112512814242858
ENSG00000003393,Gene,Gene,ALS2,Unchanged,2552.28660665278,0.123690106532622,0.0585404602888976,0.034240552292675,0.0758379196708211
ENSG00000003400,Gene,Gene,CASP10,Downregulated,261.075808191917,-0.988295062239421,0.129993007173231,7.66397795841994e-15,9.22717076225969e-14
ENSG00000003402,Gene,Gene,CFLAR,Upregulated,2179.49294876017,1.04556699534594,0.0960569026157544,3.36611316926203e-28,9.06975195200403e-27
ENSG00000003436,Gene,Gene,TFPI,Unchanged,969.222610572472,-0.431326047799148,0.124375573941957,0.000369005060056529,0.00133737970070532
ENSG00000003509,Gene,Gene,NDUFAF7,Unchanged,851.242398284408,-0.105725442188132,0.100449951277149,0.278220685222491,0.413886086864009
ENSG00000003756,Gene,Gene,RBM5,Unchanged,4276.23381312933,0.323077719065687,0.053216085091768,8.86178697618186e-10,6.79554500344996e-09
ENSG00000003989,Gene,Gene,SLC7A2,Downregulated,832.773765434049,-1.43351421108665,0.104313767008979,8.63529030385678e-44,4.16919413756767e-42
ENSG00000004059,Gene,Gene,ARF5,Unchanged,4233.69897882714,0.149090848384105,0.109413805348603,0.182340749308001,0.299339668212258
ENSG00000004139,Gene,Gene,SARM1,Upregulated,89.5773991532672,0.70228605388896,0.236190866976768,0.00122464026522066,0.00400640739828094
ENSG00000004142,Gene,Gene,POLDIP2,Unchanged,3219.21610913657,-0.558626414939135,0.10393037075914,4.39577919870321e-08,2.83455737075248e-07
ENSG00000004399,Gene,Gene,PLXND1,Unchanged,1449.45316425626,0.304998711595887,0.0916681134183649,0.000742635655767959,0.00253868046024715
ENSG00000004455,Gene,Gene,AK2,Unchanged,7632.47109441104,-0.545245036635415,0.0767287292554186,6.29860957320172e-13,6.4718950508368e-12
ENSG00000004468,Gene,Gene,CD38,Unchanged,1.9043256977077,0.035617269771536,0.557651200293133,0.814385384441821,0.880479570691285
ENSG00000004478,Gene,Gene,FKBP4,Downregulated,11290.2153692939,-1.27050164177218,0.124617965305693,6.10891714864164e-25,1.40122059420692e-23
ENSG00000004487,Gene,Gene,KDM1A,Downregulated,10006.6922505196,-0.747798120683297,0.0809638301756539,7.12879841856397e-21,1.31234280048583e-19
ENSG00000004534,Gene,Gene,RBM6,Unchanged,3476.0827699383,0.00553714477720059,0.0563230790059103,0.920192151257516,0.95053987054201
ENSG00000004660,Gene,Gene,CAMKK1,Unchanged,690.267665161333,0.472786986466421,0.118441910975439,4.50329301780512e-05,0.000190168659123948
ENSG00000004700,Gene,Gene,RECQL,Unchanged,1927.10464554634,0.17176149191993,0.0997273038365478,0.0800141533460718,0.154526149006891
ENSG00000004766,Gene,Gene,VPS50,Unchanged,1014.4025147476,0.121333367248881,0.104057392196046,0.236799083880776,0.366144199601932
ENSG00000004777,Gene,Gene,ARHGAP33,Unchanged,134.135511760603,0.0282431067700042,0.153277765260533,0.853192692757865,0.906433848207347
ENSG00000004779,Gene,Gene,NDUFAB1,Unchanged,2820.96763547809,-0.508494650842341,0.116106924529221,7.08282106293618e-06,3.37735989655449e-05
ENSG00000004799,Gene,Gene,PDK4,Unchanged,121.43210862105,0.532281186218274,0.223351562244255,0.00976660355680551,0.0254154369256624
ENSG00000004809,Gene,Gene,SLC22A16,Upregulated,3.03416844125326,1.40817778318127,1.13880350640067,0.020141495915547,0.0480163896522533
ENSG00000004838,Gene,Gene,ZMYND10,Unchanged,52.6732432695888,-0.141227186536381,0.200459298045938,0.448839326364211,0.587269870619791
ENSG00000004848,Gene,Gene,ARX,Unchanged,19.8221382551393,0.541237227462542,0.352004400549718,0.0648868016934744,0.129682706417426
ENSG00000004864,Gene,Gene,SLC25A13,Unchanged,1122.54303046534,0.232810650072899,0.0939757379322804,0.012227505860968,0.0309363053942953
ENSG00000004866,Gene,Gene,ST7,Unchanged,623.69737867419,-0.266945456306846,0.0907483729417301,0.00335987662722236,0.00994509540261024
ENSG00000004897,Gene,Gene,CDC27,Unchanged,10678.9690178398,0.182298566832755,0.0726687904175027,0.0123918683336999,0.0312911124808666
ENSG00000004939,Gene,Gene,SLC4A1,Unchanged,1.89980498458464,0.174342746482978,0.550077083289252,0.470736284644131,0.608140043737748
ENSG00000004948,Gene,Gene,CALCR,Downregulated,17.5090118761036,-1.16294752053858,0.437680337339107,0.00131476466157446,0.0042640935273205
