peak_chr,peak_start,peak_end,peak_width,peak_strand,peak_id,peak_annotation,gene_chr,gene_start,gene_end,gene_length,gene_strand,ncbi_id,transcript_id,dist_to_tss,gene_id,gene_symbol,peak_annotation_general,gene_type,logFC,FDR
chr1,1577001,1585000,8000,*,chr1_1577001_1585000,Promoter (2-3kb),1,1541673,1574863,33191,2,29101,ENST00000291386,-2138,ENSG00000160075,SSU72,Promoter (2-3kb),protein_coding,0.336885416292881,0.491656062739632
chr1,1926001,1929500,3500,*,chr1_1926001_1929500,Promoter (<=1kb),1,1921957,1927929,5973,2,85452,ENST00000464311,0,ENSG00000142609,CFAP74,Promoter (<=1kb),protein_coding,-0.045386175035511,0.941433090692073
chr1,2581501,2583500,2000,*,chr1_2581501_2583500,Promoter (2-3kb),1,2586491,2589632,3142,1,127281,ENST00000493183,-2991,ENSG00000157870,PRXL2B,Promoter (2-3kb),protein_coding,-0.134974628195971,0.748195104287605
chr1,2776001,2809000,33000,*,chr1_2776001_2809000,Promoter (<=1kb),1,2636986,2801693,164708,2,100287898,ENST00000401095,0,ENSG00000215912,TTC34,Promoter (<=1kb),protein_coding,1.0892365739341,0.00379613882992238
chr1,3447501,3452000,4500,*,chr1_3447501_3452000,Promoter (2-3kb),1,3454665,3481113,26449,1,27237,ENST00000378378,-2665,ENSG00000130762,ARHGEF16,Promoter (2-3kb),protein_coding,0.151678592322413,0.934730749921188
chr1,3751001,3768500,17500,*,chr1_3751001_3768500,Promoter (<=1kb),1,3752445,3771645,19201,1,148870,ENST00000462521,0,ENSG00000162592,CCDC27,Promoter (<=1kb),protein_coding,5.553075111673e-4,0.999806887478248
chr1,4705501,4764500,59000,*,chr1_4705501_4764500,Promoter (<=1kb),1,4711155,4712165,1011,1,55966,ENST00000466761,0,ENSG00000196581,AJAP1,Promoter (<=1kb),protein_coding,1.24754588270949,0.00220783531962036
chr1,6239501,6247500,8000,*,chr1_6239501_6247500,Promoter (<=1kb),1,6244179,6245578,1400,1,390992,ENST00000377898,0,ENSG00000173673,HES3,Promoter (<=1kb),protein_coding,1.10026958824253,0.0196068172564005
chr1,6561001,6573500,12500,*,chr1_6561001_6573500,Promoter (<=1kb),1,6570941,6579426,8486,1,80835,ENST00000411823,0,ENSG00000173662,TAS1R1,Promoter (<=1kb),protein_coding,0.590382150126104,0.686407432187194
chr1,7356501,7366500,10000,*,chr1_7356501_7366500,Promoter (<=1kb),1,7358515,7370277,11763,1,23261,ENST00000849780,0,ENSG00000171735,CAMTA1,Promoter (<=1kb),protein_coding,-0.489545338054295,0.714896541391069
chr1,7930501,7944500,14000,*,chr1_7930501_7944500,Promoter (<=1kb),1,7915871,7940839,24969,2,3604,ENST00000377507,0,ENSG00000049249,TNFRSF9,Promoter (<=1kb),protein_coding,-0.626965333930884,0.0884853608817479
chr1,8700501,8703500,3000,*,chr1_8700501_8703500,Promoter (<=1kb),1,8656193,8703219,47027,2,473,ENST00000468247,0,ENSG00000142599,RERE,Promoter (<=1kb),protein_coding,0.873179100766517,0.00672969450590811
