peak_chr,peak_start,peak_end,peak_width,peak_strand,peak_id,peak_annotation,gene_chr,gene_start,gene_end,gene_length,gene_strand,ncbi_id,transcript_id,dist_to_tss,gene_id,gene_symbol,peak_annotation_general,gene_type,logFC,FDR
chr1,1577001,1585000,8000,*,chr1_1577001_1585000,Promoter (2-3kb),1,1541673,1574863,33191,2,29101,ENST00000291386,-2138,ENSG00000160075,SSU72,Promoter (2-3kb),protein_coding,0.43728174607918,0.198584530170852
chr1,2019501,2022000,2500,*,chr1_2019501_2022000,Promoter (<=1kb),1,2019484,2030717,11234,1,2563,ENST00000640030,17,ENSG00000187730,GABRD,Promoter (<=1kb),protein_coding,0.00449658345881184,0.996666155826554
chr1,2776001,2801500,25500,*,chr1_2776001_2801500,Promoter (<=1kb),1,2641368,2789665,148298,2,100287898,ENST00000637179,0,ENSG00000215912,TTC34,Promoter (<=1kb),protein_coding,0.660017365966006,0.0535722223017042
chr1,3013001,3020500,7500,*,chr1_3013001_3020500,Promoter (<=1kb),1,3021467,3022903,1437,1,140625,ENST00000378404,-967,ENSG00000169717,ACTRT2,Promoter (<=1kb),protein_coding,-0.261603312844411,0.741788121331179
chr1,3416001,3423000,7000,*,chr1_3416001_3423000,Promoter (1-2kb),1,3424919,3434095,9177,1,63976,ENST00000378389,-1919,ENSG00000142611,PRDM16,Promoter (1-2kb),protein_coding,-0.662376854859122,0.0545077071706044
chr1,3447501,3452000,4500,*,chr1_3447501_3452000,Promoter (2-3kb),1,3454665,3481113,26449,1,27237,ENST00000378378,-2665,ENSG00000130762,ARHGEF16,Promoter (2-3kb),protein_coding,-0.00665263140725054,0.994498277672565
chr1,3751001,3768500,17500,*,chr1_3751001_3768500,Promoter (<=1kb),1,3752445,3771645,19201,1,148870,ENST00000462521,0,ENSG00000162592,CCDC27,Promoter (<=1kb),protein_coding,-0.276125073482704,0.927380738937844
chr1,6239501,6247000,7500,*,chr1_6239501_6247000,Promoter (<=1kb),1,6244179,6245578,1400,1,390992,ENST00000377898,0,ENSG00000173673,HES3,Promoter (<=1kb),protein_coding,0.812316687960736,0.00558869977654081
chr1,6561501,6573500,12000,*,chr1_6561501_6573500,Promoter (<=1kb),1,6570941,6579426,8486,1,80835,ENST00000411823,0,ENSG00000173662,TAS1R1,Promoter (<=1kb),protein_coding,-0.0662543059783482,0.901706014243067
chr1,7359001,7365000,6000,*,chr1_7359001_7365000,Promoter (<=1kb),1,7363742,7370270,6529,1,23261,ENST00000849781,0,ENSG00000171735,CAMTA1,Promoter (<=1kb),protein_coding,-0.868592578730187,0.0198112135029508
chr1,7930501,7944500,14000,*,chr1_7930501_7944500,Promoter (<=1kb),1,7915871,7940839,24969,2,3604,ENST00000377507,0,ENSG00000049249,TNFRSF9,Promoter (<=1kb),protein_coding,-0.825582529544173,0.0118037761104625
chr1,8700001,8703500,3500,*,chr1_8700001_8703500,Promoter (<=1kb),1,8656193,8703219,47027,2,473,ENST00000468247,0,ENSG00000142599,RERE,Promoter (<=1kb),protein_coding,1.34514095530409,5.09128298710686e-6
chr1,9029001,9036500,7500,*,chr1_9029001_9036500,Promoter (2-3kb),1,9002973,9026423,23451,2,155184,ENST00000400906,-2578,ENSG00000197241,SLC2A7,Promoter (2-3kb),protein_coding,-0.179951432508603,0.80594433928536
chr1,9649001,9653000,4000,*,chr1_9649001_9653000,Promoter (<=1kb),1,9651731,9728906,77176,1,5293,ENST00000481137,0,ENSG00000171608,PIK3CD,Promoter (<=1kb),protein_coding,-0.341539258523505,0.883407091367991
chr1,10952001,10955000,3000,*,chr1_10952001_10955000,Promoter (2-3kb),1,10946471,10949751,3281,2,148345,ENST00000476357,-2250,ENSG00000175262,CIROZ,Promoter (2-3kb),protein_coding,-0.234975938447542,0.48862655499546
chr1,11037001,11044000,7000,*,chr1_11037001_11044000,Promoter (<=1kb),1,11037693,11043198,5506,2,10747,ENST00000478645,0,ENSG00000009724,MASP2,Promoter (<=1kb),protein_coding,-0.331255991540931,0.725325167869772
chr1,11426001,11495000,69000,*,chr1_11426001_11495000,Promoter (<=1kb),1,11479155,11537551,58397,1,57540,ENST00000294484,0,ENSG00000204624,DISP3,Promoter (<=1kb),protein_coding,0.682181562024096,0.0776656372808901
chr1,11690001,11700500,10500,*,chr1_11690001_11700500,Promoter (<=1kb),1,11657230,11691545,34316,2,10459,ENST00000717649,0,ENSG00000116670,MAD2L2,Promoter (<=1kb),protein_coding,0.480173836062064,0.40370454014063
chr1,11848501,11879500,31000,*,chr1_11848501_11879500,Promoter (<=1kb),1,11857464,11858945,1482,2,4879,ENST00000376468,0,ENSG00000120937,NPPB,Promoter (<=1kb),protein_coding,-0.891168242445566,0.0625954174176059
chr1,12058001,12068000,10000,*,chr1_12058001_12068000,Promoter (<=1kb),1,12063303,12144207,80905,1,943,ENST00000263932,0,ENSG00000120949,TNFRSF8,Promoter (<=1kb),protein_coding,-0.0100413418667222,0.989592757023302
chr1,12470501,12476000,5500,*,chr1_12470501_12476000,Promoter (2-3kb),1,12478549,12506972,28424,1,55187,ENST00000645148,-2549,ENSG00000048707,VPS13D,Promoter (2-3kb),protein_coding,-0.066966167600827,0.944761823987543
